Internet use (mean hours per week)	DepressionBefore	DepressionAfter	Gender	Age	Household income ($000)
1.070487	1.733154	0.928467	male	Adult	85
1.910293	0.133331	0.142853	male	Adult	85
0	0.599976	0.357117	female	Adult	85
0.001923	1.866455	0.857056	female	Adult	85
0.985677	0.399963	0.285706	male	Adult	
2.892899	0.733276	0.642822	male	Adult	85
1.829916	0.199982	0.357117	female	Adult	85
0.137653	0.133331	0.5	female	Adult	52.5
0	0.866577	0.692261	male	Adult	52.5
0.017073	0.533325	0.214264	male	Adult	85
10.45646	2.066406	0.071426	female	Adult	85
0.000352	0.666626	0.714233	male	Adult	85
11.95453	0.199982	1.714111	female	Adult	85
5.58447	0.214264	0.5	male	Adult	85
4.47882	0.266663	0.142853	female	Adult	85
3.074341	0.333313	0.642822	female	Adult	73.75
0.124003	0.214264	0.384583	female	Adult	73.75
0.196869	1.699951	2.285645	female	Adult	62.5
	0.799927	0.928467	female	Adult	62.5
0.382641	0.866577	0.428528	female	Adult	36.25
23.77727	0.933228	2.356934	female	Adult	36.25
1.030727	0.733276	0.214264	male	Adult	42.5
1.097116	0.666626	0.642822	male	Adult	42.5
0.088495	0.599976	0.357117	female	Adult	42.5
0.000265	0.466614	0.5	female	Adult	42.5
0.539546	0.866577	0.571411	male	Adult	42.5
0.290725	0.666626	0.214264	female	Adult	12.5
0.781375	0.333313	0.357117	female	Adult	73.75
0.83992	1.399902	1.214111	male	Adult	73.75
0.111705	1	0.785645	female	Adult	73.75
1.048137	1.333252	0.857056	female	Adult	42.5
0.31175	0.733276	0.642822	male	Adult	42.5
0	0.266663	0.357117	female	Adult	5
0.025015	0.384583	0.428528	female	Adult	
0.282701	0.733276	0.428528	female	Adult	62.5
0.218416	1	0.714233	female	Adult	42.5
0.178682	0.266663	1.785645	male	Adult	42.5
0.608612	0.533325	0.692261	male	Adult	42.5
0.608612	0.533325	0.692261	male	Adult	42.5
0.059126	0.533325	0.714233	female	Adult	42.5
0.345747	1.266602	0.357117	male	Adult	62.5
0.855428	0.733276	0.357117	female	Adult	62.5
0.014721	0.066666	0.142853	male	Adult	30
0.417161	0.466614	0.714233	female	Adult	30
0.10516	0.266663	0.142853	male	Adult	42.5
1.885514	0.333313	0.071426	female	Adult	42.5
0.276072	1.266602	1.856934	female	Adult	30
0.000285	0.133331	0.071426	male	Adult	62.5
0.72954	0.066666	0.214264	male	Adult	85
0.46751	0.733276	0.285706	female	Adult	85
1.218766	0.799927		female	Adult	85
0.003157	0.466614	0.5	male	Adult	85
1.160712	0.599976	0.571411	male	Adult	36.25
1.46307	0.733276	0.285706	female	Adult	36.25
0.394545	0	0.142853	female	Adult	20
0.039272	0.199982	0.214264	female	Adult	42.5
0.033528	0.533325	0.5	male	Adult	85
6.28833	0.333313	0.285706	female	Adult	85
1.265653	0.466614	0	male	Adult	85
0.131579	1.866455	0.142853	female	Adult	85
1.191655	0.266663	0.214264	male	Adult	62.5
2.218425	0.333313	0.428528	female	Adult	42.5
9.24246	0.866577	0.5	male	Adult	62.5
1.290835	0.142853	0.285706	female	Adult	62.5
1.793626	0.199982	0.285706	male	Adult	62.5
0.351875	2.133301	1	female	Adult	42.5
0.068429	0.599976	0.428528	male	Adult	42.5
2.014583	0.599976	1.428467	male	Adult	17.5
0.346884	1.133301	0.5	male	Adult	85
0	0.466614	0.928467	male	Adult	85
0.604331	0.333313	0.642822	female	Adult	30
3.107838	0.133331	0.357117	male	Adult	30
4.626555	1.06665	0.857056	male	Adult	85
3.176995	0.666626	0.428528	male	Adult	62.5
0.97344	0.399963	1.142822	female	Adult	46.66667
1.100956	1.06665	1.142822	female	Adult	5
0.033796	0.533325	0.5	female	Adult	52.5
8.439397	0.733276		male	Adult	52.5
0	1.06665	0.785645	male	Adult	52.5
0.006445	0.357117	0.642822	female	Adult	30
0.266016	0.399963	0.142853	female	Adult	42.5
1.726484	0.133331	0.142853	female	Adult	25
0.017644	0.466614	0.142853	female	Adult	25
6.213516	1	0.922974	female	Adult	36.25
2.34316	0.799927	0.642822	male	Adult	36.25
1.145992	0.399963	3	female	Adult	30
7.97858	0.333313	0.142853	female	Adult	36.25
2.112694	1	0.571411	male	Adult	20
0.872875	0.399963	0.357117	male	Adult	38.33333
12.75906	0.399963	0.428528	male	Adult	62.5
0.233832	0.666626	0.928467	male	Adult	62.5
2.729151	0.199982	0.571411	female	Adult	30
0	0.599976	0.214264	female	Adult	30
0.64167	0.066666	0.071426	female	Adult	36.66667
0.002241	0.166656	0.5	male	Adult	36.66667
1.517056	0.533325	0.642822	male	Adult	36.66667
0.896511	1.533203	0.857056	male	Adult	36.66667
0.969309	0.714233	1.356934	female	Adult	85
0.778388	0.799927	0.785645	male	Adult	85
2.570539	0.599976	0.857056	female	Adult	36.25
1.268586	0.599976	0.357117	male	Adult	36.25
0.515882	0.466614	0.357117	female	Adult	42.5
0.947773	1.266602	1	male	Adult	42.5
0.842276	1.133301	0.714233	female	Adult	85
0.886891	0.333313	0.071426	male	Adult	85
2.294617	0.599976	0.357117	female	Adult	62.5
0.074744	0	0.071426	male	Adult	62.5
0.420631	1.399902	0.5	female	Adult	45
5.302291	0.866577	0.714233	male	Adult	62.5
1.346648	0.799927	0.428528	female	Adult	62.5
0.363582	0.357117	0.5	female	Adult	42.5
0.193306	0.933228	0.285706	male	Adult	27.5
0	0.599976	0.642822	female	Adult	27.5
0.674057	1	0.357117	male	Adult	85
0.402542	0.399963	0.214264	female	Adult	85
0.023309	0.133331	0.071426	female	Adult	62.5
0.762946	0.199982	0.214264	female	Adult	85
0.102904	0.266663	0.714233	male	Adult	85
0.276563	0.066666	0.214264	female	Adult	30
0	0.266663	0.071426	male	Adult	52.5
0.016291	1	0.857056	female	Adult	52.5
1.713114	1.266602	1	male	Teen	85
14.27382		0.642822	male	Teen	85
3.80565	1.266602	1.321289	female	Teen	85
10.29569	0.533325	0.428528	male	Teen	
3.570931	1	0.5	female	Teen	
0.903137	1.333252	0.785645	male	Teen	85
3.512475	0.466614	0.642822	male	Teen	52.5
0.653838	0.799927	0.785645	female	Teen	52.5
0.386323	0.733276	0.642822	male	Teen	85
1.394257	1.06665	0.5	male	Teen	85
6.266383	0.866577	0.5	female	Teen	85
	0.866577	0.857056	female	Teen	62.5
31.18628	1	0.714233	female	Teen	36.25
2.591632	2.533203	0.357117	female	Teen	42.5
19.69108	1.533203	1.785645	male	Teen	42.5
0.662065	1	0.922974	female	Teen	42.5
0.17138	1.199951	0.071426	female	Teen	42.5
0.861728	1.199951		female	Teen	42.5
0	1.466553	0.5	female	Teen	5
4.686642	0.599976	0.357117	male	Teen	
35.61862	0.866577	1.142822	male	Teen	62.5
6.735913	0.799927	0.857056	female	Teen	42.5
1.016918	0.933228	1.071289	male	Teen	62.5
0.399261	0.866577	0.214264	male	Teen	62.5
3.434553	1.266602	1.071289	female	Teen	30
1.080145	0.333313	0.428528	female	Teen	42.5
2.053303	0.533325	0.571411	female	Teen	30
10.52884	1.933105	0.071426	female	Teen	62.5
1.838479	1.933105	1.142822	female	Teen	85
2.250242	0.866577	0.642822	female	Teen	85
3.756001	0.066666	0.857056	male	Teen	36.25
2.441437	0.266663		male	Teen	20
1.064342	0.799927	0.285706	female	Teen	42.5
0.590351	0.599976	0.928467	male	Teen	85
1.192911	0.933228	0.571411	male	Teen	17.5
0.014472		1.461426	male	Teen	17.5
8.6259	1.06665	0.571411	female	Teen	20
0	0.199982	0.071426	female	Teen	38.33333
0.017961	1.733154	0.642822	male	Teen	45
0.024391	1.399902		female	Teen	45
13.35067	0.733276	0.428528	male	Teen	27.5
0.189075	0.933228	0.642822	female	Teen	27.5
0.691365	0.933228	0.5	female	Teen	85
0.077654	0.666626	0.642822	male	Teen	62.5
2.193635	0.266663	0.714233	female	Teen	85
0.045151	1.266602	0.846069	female	Teen	85
1.384472	1.666504	1.214111	female	Teen	30
1.170328	1.266602	1.714111	female	Teen	52.5
